user,rank,MiniLM_post,MiniLM_score,BGE_Small_post,BGE_Small_score,BGE_Base_post,BGE_Base_score,E5_post,E5_score
shayudh_football,1,POST_03867,0.4338421,POST_03867,0.75393236,POST_03867,0.7416002,POST_03837,0.8409207
shayudh_football,2,POST_00488,0.43055904,POST_01048,0.7325533,POST_03837,0.6896378,POST_03530,0.8390266
shayudh_football,3,POST_03904,0.41526824,POST_03798,0.7209027,POST_01852,0.68166566,POST_03867,0.83769286
shayudh_football,4,POST_02100,0.40133145,POST_03837,0.71811444,POST_00488,0.6804768,POST_00488,0.83768606
shayudh_football,5,POST_01048,0.3817817,POST_03904,0.71035874,POST_01048,0.67603403,POST_02112,0.8364003
shayudh_football,6,POST_03919,0.37767154,POST_03557,0.7095353,POST_03022,0.6724646,POST_00497,0.831333
shayudh_football,7,POST_03530,0.3745829,POST_00497,0.69207954,POST_02112,0.6591703,POST_03557,0.83093417
shayudh_football,8,POST_03646,0.37293,POST_03813,0.6850188,POST_03646,0.65183866,POST_03798,0.83029956
shayudh_football,9,POST_01852,0.36830688,POST_03597,0.6799413,POST_00497,0.64763844,POST_04056,0.8297646
shayudh_football,10,POST_00497,0.3652114,POST_03586,0.6797348,POST_03463,0.64658993,POST_03904,0.8280251
ayush_technology,1,POST_03506,0.55841804,POST_02966,0.783434,POST_02966,0.76012963,POST_01627,0.8659458
ayush_technology,2,POST_00071,0.55378145,POST_00071,0.7425544,POST_01627,0.6890969,POST_02966,0.8642055
ayush_technology,3,POST_03504,0.51798034,POST_01627,0.7277887,POST_03504,0.68225914,POST_03862,0.8521285
ayush_technology,4,POST_00068,0.51272726,POST_00175,0.7086561,POST_00071,0.6776381,POST_03739,0.8432293
ayush_technology,5,POST_00167,0.49560916,POST_03551,0.69856375,POST_00083,0.6657107,POST_00175,0.84207994
ayush_technology,6,POST_01627,0.49386546,POST_03497,0.6967763,POST_03743,0.66432756,POST_03534,0.84195983
ayush_technology,7,POST_03497,0.47487086,POST_00107,0.6948813,POST_00393,0.66374886,POST_03533,0.84195983
ayush_technology,8,POST_00066,0.45886832,POST_00266,0.68901986,POST_03633,0.65376747,POST_04007,0.8402459
ayush_technology,9,POST_03596,0.43614882,POST_03533,0.68477845,POST_00266,0.653371,POST_03750,0.8398782
ayush_technology,10,POST_03633,0.43365544,POST_03534,0.68477845,POST_00068,0.6526227,POST_02230,0.8389729
abhishek_fashion,1,POST_00663,0.5842389,POST_03196,0.7674117,POST_03933,0.7421389,POST_03933,0.8967275
abhishek_fashion,2,POST_03933,0.5689552,POST_00663,0.76560974,POST_00663,0.7115913,POST_03937,0.85601306
abhishek_fashion,3,POST_01800,0.5153749,POST_01800,0.76436627,POST_03874,0.6857028,POST_03233,0.8483181
abhishek_fashion,4,POST_03207,0.4884994,POST_03933,0.76398075,POST_01800,0.67558825,POST_00663,0.84610045
abhishek_fashion,5,POST_03874,0.47228482,POST_03737,0.7615183,POST_03737,0.6745623,POST_01854,0.84053224
abhishek_fashion,6,POST_01904,0.4660526,POST_03252,0.74284863,POST_03233,0.6741415,POST_01904,0.8357791
abhishek_fashion,7,POST_03753,0.45290717,POST_03918,0.7370311,POST_03248,0.6713844,POST_00629,0.83415633
abhishek_fashion,8,POST_03248,0.4520321,POST_03233,0.7278576,POST_01904,0.66994715,POST_03874,0.8316015
abhishek_fashion,9,POST_01854,0.4385509,POST_03767,0.71748626,POST_03852,0.6682638,POST_03207,0.8298719
abhishek_fashion,10,POST_03233,0.43573436,POST_02828,0.7167028,POST_03937,0.66731846,POST_00081,0.82857513
namita_food,1,POST_03945,0.42624155,POST_03940,0.7835325,POST_03940,0.788314,POST_03940,0.9074213
namita_food,2,POST_03940,0.41816062,POST_04027,0.7436284,POST_04027,0.77074033,POST_04046,0.858865
namita_food,3,POST_04027,0.40076193,POST_03735,0.7390002,POST_02222,0.7171074,POST_02230,0.8583716
namita_food,4,POST_03735,0.3808383,POST_02230,0.73562765,POST_01473,0.71003526,POST_04027,0.8524486
namita_food,5,POST_03868,0.37762296,POST_02222,0.730352,POST_03735,0.7025957,POST_02049,0.8508781
namita_food,6,POST_03902,0.37271944,POST_03923,0.72188175,POST_03923,0.6831558,POST_03735,0.8459283
namita_food,7,POST_02222,0.36943197,POST_02049,0.7190447,POST_03902,0.67924035,POST_02222,0.8451945
namita_food,8,POST_03934,0.3597855,POST_04046,0.7122712,POST_03307,0.6727924,POST_03240,0.8419746
namita_food,9,POST_02230,0.34200796,POST_01719,0.70692503,POST_03868,0.6722733,POST_01693,0.83907306
namita_food,10,POST_01719,0.3372538,POST_03868,0.70271945,POST_02103,0.6690501,POST_01309,0.8361845
amit_cricket,1,POST_00919,0.66096616,POST_01790,0.77830935,POST_02982,0.72163624,POST_03632,0.8645129
amit_cricket,2,POST_03919,0.5896398,POST_03919,0.7559801,POST_03919,0.7165121,POST_03631,0.8645129
amit_cricket,3,POST_03772,0.5883008,POST_01086,0.75194144,POST_01086,0.7146365,POST_00801,0.8584378
amit_cricket,4,POST_00822,0.5705893,POST_03772,0.7496981,POST_00919,0.70641756,POST_02982,0.8558222
amit_cricket,5,POST_00140,0.5576105,POST_00794,0.74430954,POST_01027,0.69835246,POST_03772,0.8536649
amit_cricket,6,POST_00006,0.55253315,POST_01395,0.74046636,POST_01026,0.69835246,POST_01728,0.85081387
amit_cricket,7,POST_03649,0.55250835,POST_02982,0.73843145,POST_00822,0.6957959,POST_00940,0.84938866
amit_cricket,8,POST_00794,0.54566276,POST_01226,0.73467237,POST_03632,0.6942239,POST_01086,0.8471887
amit_cricket,9,POST_02112,0.5350834,POST_00801,0.73159677,POST_03631,0.6942239,POST_01261,0.84665906
amit_cricket,10,POST_02982,0.5338285,POST_01216,0.7280672,POST_01395,0.6933224,POST_00822,0.8439101
viplav_cricket,1,POST_00919,0.565817,POST_01038,0.7331294,POST_03919,0.6967244,POST_00822,0.85273075
viplav_cricket,2,POST_00822,0.5226727,POST_03919,0.7292476,POST_00822,0.68268335,POST_01261,0.8507439
viplav_cricket,3,POST_01038,0.49886063,POST_01086,0.7017733,POST_01086,0.6825378,POST_01086,0.85042274
viplav_cricket,4,POST_03649,0.49125826,POST_01216,0.6908664,POST_00854,0.67829096,POST_03919,0.8471201
viplav_cricket,5,POST_03919,0.48203105,POST_02982,0.68883324,POST_01038,0.66774696,POST_00940,0.84708756
viplav_cricket,6,POST_00006,0.47938684,POST_01480,0.68761474,POST_01480,0.6667929,POST_03624,0.84665
viplav_cricket,7,POST_01305,0.47261846,POST_00801,0.68642366,POST_02982,0.6663102,POST_02982,0.8464985
viplav_cricket,8,POST_03772,0.46330008,POST_01790,0.68621534,POST_03540,0.6616984,POST_03632,0.8451669
viplav_cricket,9,POST_00794,0.45322633,POST_01483,0.68513846,POST_01027,0.66158724,POST_03631,0.8451669
viplav_cricket,10,POST_00140,0.45025685,POST_01395,0.6839981,POST_01026,0.66158724,POST_01184,0.8448067
